ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
a5b1b0b9f685ba67ecdee8a50768a9ed	Arthropoda	Insecta	Lepidoptera				88.782	public	1	Order		1--2--4	1
50115e1962e031bc326014f89158a78c	Arthropoda	Arachnida	Sarcoptiformes	Euphthiracaridae	Acrotritia	Acrotritia ardua	98.428	public	1	Species	BOLD:AAF9157		1
d9e583b6041ce5aec9873af72bdaebaa	Arthropoda	Insecta	Lepidoptera				85.149	public	1	Order		1--4	1
a4161199463ae33fe05766b0d303653f	Arthropoda	Insecta	Lepidoptera				87.188	public	1	Order		1--4	1
f4ab5164a9be687dd28b8880c44b0f92	Arthropoda	Insecta	Hemiptera	Miridae			91.195	public	2	Family		1	1
39823239b4b6aafdaec16879441af806	Arthropoda	Insecta	Lepidoptera				85.047	public	1	Order		1--4	1
cfd1d5bdee025a5c619356fa3448782a	Arthropoda	Insecta	Hymenoptera				85.266	public	1	Order		4	1
0851c904a2c475205320e3dd74bfa3f6	Arthropoda	Insecta	Lepidoptera				87.227	public	1	Order		1--4	1
13cd0045a10842754077834584d15535	Arthropoda	Insecta	Lepidoptera				86.068	public	2	Order		1--2	1
d727242ea31ab4978180b400be2efea3	Arthropoda	Collembola	Entomobryomorpha				86.885	public	93	Order		2	1
ab861345bf2a3d5cd35ed66764cffb62	Arthropoda	Insecta	Lepidoptera				86.875	public	1	Order		1--4	1
adf983d35edd25f85add01cab4cf730e	Arthropoda	Insecta	Hymenoptera				85.938	public	1	Order		4	1
e64a09c06914e636ade954676b97738d	Arthropoda	Insecta	Coleoptera	Cantharidae			91.9	public	2	Family			1
de9ee695465b199263780168d385e7a0	Arthropoda	Insecta	Lepidoptera				86.52	public	1	Order		1--4	1
bfeb499d6d68fc726a97028482f856cc	Arthropoda	Insecta	Hemiptera				85.577	public	2	Order		1--2	1
88e6cc3e3d5865b92d25b22a6cc31e69	Arthropoda	Insecta	Lepidoptera				88.141	public	1	Order		1--4	1
